Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude
Biberach an der Riß,48.097465,9.79203,ACB - Autocenter Biberach,48.111907275041744,9.802743078002948
Biberach an der Riß,48.097465,9.79203,Aral,48.09555822,9.7795308
Eberhardzell,48.001249,9.824229,Shell,47.98690204,9.77157834
Hochdorf,48.02488,9.787135,Shell,47.98690204,9.77157834
Maselheim,48.13449,9.883935,1A Autoservice Gehring,48.173089,9.860549
Mittelbiberach,48.087332,9.747188,Shell,48.1082365,9.80153606
Mittelbiberach,48.087332,9.747188,Shell,48.08414276,9.80098761
Mittelbiberach,48.087332,9.747188,TOTAL Tankstelle,48.095407,9.779654
Mittelbiberach,48.087332,9.747188,Agip Service Station,48.08618759,9.79593245
Mittelbiberach,48.087332,9.747188,Aral,48.09698984,9.79199922
Mittelbiberach,48.087332,9.747188,RAN Station,48.09162131722294,9.795592801340407
Mittelbiberach,48.087332,9.747188,ACB - Autocenter Biberach,48.111907275041744,9.802743078002948
Mittelbiberach,48.087332,9.747188,Aral,48.09555822,9.7795308
Ummendorf,48.062058,9.831026,Agip Service Station,48.08618759,9.79593245
Ummendorf,48.062058,9.831026,TOTAL Tankstelle,48.095407,9.779654
Ummendorf,48.062058,9.831026,Shell,48.08414276,9.80098761
Ummendorf,48.062058,9.831026,Aral,48.09698984,9.79199922
Ummendorf,48.062058,9.831026,RAN Station,48.09162131722294,9.795592801340407
Ummendorf,48.062058,9.831026,Aral,48.09555822,9.7795308
Warthausen,48.128975,9.797727,Shell,48.1082365,9.80153606
Warthausen,48.128975,9.797727,Agip Service Station,48.08618759,9.79593245
Warthausen,48.128975,9.797727,TOTAL Tankstelle,48.095407,9.779654
Warthausen,48.128975,9.797727,Shell,48.08414276,9.80098761
Warthausen,48.128975,9.797727,Aral,48.09698984,9.79199922
Warthausen,48.128975,9.797727,RAN Station,48.09162131722294,9.795592801340407
Warthausen,48.128975,9.797727,ACB - Autocenter Biberach,48.111907275041744,9.802743078002948
Warthausen,48.128975,9.797727,Aral,48.09555822,9.7795308
Berkheim,48.043327,10.08179,Aral,48.03493731,10.15359854
Berkheim,48.043327,10.08179,Aral,48.088416,10.078724
Berkheim,48.043327,10.08179,Bft Tankstelle Kirchdorf,48.081614,10.122249
Dettingen an der Iller,48.109544,10.109281,Shell,48.12289371024067,10.112348612513502
Dettingen an der Iller,48.109544,10.109281,Aral,48.1228436,10.11235783
Dettingen an der Iller,48.109544,10.109281,Aral,48.088416,10.078724
